36.0 APEX_CODE,FINEST;APEX_PROFILING,INFO;CALLOUT,INFO;DB,INFO;SYSTEM,DEBUG;VALIDATION,INFO;VISUALFORCE,INFO;WORKFLOW,INFO
07:31:44.0 (456820)|EXECUTION_STARTED
07:31:44.0 (487504)|CODE_UNIT_STARTED|[EXTERNAL]|06636000000wjHD|VF: /apex/EmployeeForm
07:31:44.0 (515890)|CODE_UNIT_STARTED|[EXTERNAL]|VF Controller Save
07:31:44.0 (553146)|CODE_UNIT_FINISHED|VF Controller Save
07:31:44.21 (21587069)|SYSTEM_MODE_ENTER|true
07:31:44.21 (21736113)|HEAP_ALLOCATE|[72]|Bytes:3
07:31:44.21 (21781944)|HEAP_ALLOCATE|[77]|Bytes:152
07:31:44.21 (21796468)|HEAP_ALLOCATE|[342]|Bytes:408
07:31:44.21 (21811797)|HEAP_ALLOCATE|[355]|Bytes:408
07:31:44.21 (21826240)|HEAP_ALLOCATE|[467]|Bytes:48
07:31:44.0 (24234056)|STATEMENT_EXECUTE|[50]
07:31:44.0 (24245313)|SYSTEM_MODE_ENTER|false
07:31:44.0 (24250757)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:5
07:31:44.0 (24256762)|SYSTEM_MODE_EXIT|false
07:31:44.0 (24265959)|METHOD_EXIT|[50]|EmployeeController
07:31:44.0 (24357910)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:32
07:31:44.0 (24374821)|VARIABLE_SCOPE_BEGIN|[62]|this|EmployeeController|true|false
07:31:44.0 (24463822)|VARIABLE_ASSIGNMENT|[62]|this|{}|0xacc82ad
07:31:44.0 (24472042)|VARIABLE_SCOPE_BEGIN|[62]|stdController|ApexPages.StandardController|true|false
07:31:44.0 (24640651)|VARIABLE_ASSIGNMENT|[62]|stdController|"StandardController [null]"|0x722abb00
07:31:44.0 (24654906)|SYSTEM_MODE_ENTER|false
07:31:44.0 (24660566)|HEAP_ALLOCATE|[54]|Bytes:5
07:31:44.0 (24664713)|STATEMENT_EXECUTE|[50]
07:31:44.0 (24668319)|HEAP_ALLOCATE|[54]|Bytes:5
07:31:44.0 (24670403)|STATEMENT_EXECUTE|[53]
07:31:44.0 (24671759)|STATEMENT_EXECUTE|[54]
07:31:44.0 (24677924)|HEAP_ALLOCATE|[54]|Bytes:4
07:31:44.0 (24689896)|VARIABLE_ASSIGNMENT|[54]|this.OffsetSize|0|0xacc82ad
07:31:44.0 (24692289)|STATEMENT_EXECUTE|[55]
07:31:44.0 (24694812)|HEAP_ALLOCATE|[55]|Bytes:4
07:31:44.0 (24700148)|VARIABLE_ASSIGNMENT|[55]|this.QueryLimit|5|0xacc82ad
07:31:44.0 (24702001)|STATEMENT_EXECUTE|[56]
07:31:44.0 (24706388)|HEAP_ALLOCATE|[56]|Bytes:4
07:31:44.0 (24766300)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:4
07:31:44.0 (24786432)|VARIABLE_ASSIGNMENT|[56]|this.employee|{"s":1,"v":[]}|0xacc82ad
07:31:44.0 (24789915)|STATEMENT_EXECUTE|[57]
07:31:44.0 (24794661)|HEAP_ALLOCATE|[57]|Bytes:4
07:31:44.0 (24841337)|VARIABLE_ASSIGNMENT|[57]|this.returns|{"s":1,"v":{}}|0xacc82ad
07:31:44.0 (24844940)|STATEMENT_EXECUTE|[58]
07:31:44.0 (24846540)|STATEMENT_EXECUTE|[59]
07:31:44.0 (24862971)|STATEMENT_EXECUTE|[63]
07:31:44.0 (24864804)|STATEMENT_EXECUTE|[64]
07:31:44.0 (24868900)|HEAP_ALLOCATE|[64]|Bytes:31
07:31:44.0 (24876689)|HEAP_ALLOCATE|[64]|Bytes:4
07:31:44.0 (25024805)|SOQL_EXECUTE_BEGIN|[64]|Aggregations:0|SELECT COUNT() FROM Employee__c
07:31:44.0 (44012126)|SOQL_EXECUTE_END|[64]|Rows:24
07:31:44.0 (44043462)|HEAP_ALLOCATE|[64]|Bytes:4
07:31:44.0 (44176283)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"employee":"0x56e8556e","OffsetSize":0,"QueryLimit":5,"returns":"0x1e614e46"}|0xacc82ad
07:31:44.0 (44187271)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|24
07:31:44.0 (44194868)|HEAP_ALLOCATE|[53]|Bytes:4
07:31:44.0 (44207973)|VARIABLE_ASSIGNMENT|[53]|this.CountTotalRecords|24|0xacc82ad
07:31:44.0 (44217268)|STATEMENT_EXECUTE|[65]
07:31:44.0 (44425318)|HEAP_ALLOCATE|[65]|Bytes:4
07:31:44.0 (44486993)|VARIABLE_ASSIGNMENT|[EXTERNAL]|this|{"CountTotalRecords":24,"employee":"0x56e8556e","OffsetSize":0,"QueryLimit":5,"returns":"0x1e614e46"}|0xacc82ad
07:31:44.0 (44506562)|VARIABLE_ASSIGNMENT|[EXTERNAL]|value|{"s":1,"v":{}}|0x71ac3781
07:31:44.0 (44519638)|VARIABLE_ASSIGNMENT|[58]|this.empl|{"s":1,"v":{}}|0xacc82ad
07:31:44.0 (44530787)|SYSTEM_MODE_EXIT|false
07:31:44.0 (44556192)|CODE_UNIT_FINISHED|EmployeeController <init>
07:31:44.93 (93402085)|SYSTEM_MODE_ENTER|true
07:31:44.93 (93524859)|HEAP_ALLOCATE|[EXTERNAL]|Bytes:8
07:31:44.93 (93548133)|VARIABLE_SCOPE_BEGIN|[88]|this|ApexPage.PageMessagesComponentController|true|false
07:31:44.93 (93657224)|VARIABLE_ASSIGNMENT|[88]|this|{}|0x529720ce
07:31:44.93 (93665839)|VARIABLE_SCOPE_BEGIN|[88]|escape|Boolean|false|false
07:31:44.93 (93672302)|VARIABLE_ASSIGNMENT|[88]|escape|null
